regulator,group1,group2,intersection,group1_only,group2_only
acrr,0,0,0,0,0
ada,0,1,0,0,1
agar,1,0,0,1,0
aidb,0,1,0,0,1
allr,0,0,0,0,0
alls,0,0,0,0,0
arac,0,0,0,0,0
arca,0,0,0,0,0
argp,0,0,0,0,0
argr,0,0,0,0,0
arsr,1,0,0,1,0
ascg,0,0,0,0,0
asnc,0,0,0,0,0
atoc,0,0,0,0,0
baer,0,0,0,0,0
basr,0,0,0,0,0
beti,0,0,0,0,0
bira,0,0,0,0,0
blur,0,0,0,0,0
bola,0,0,0,0,0
btsr,0,0,0,0,0
cadc,1,0,0,1,0
caif,0,0,0,0,0
cbl,0,0,0,0,0
cecr,0,1,0,0,1
cpxr,0,0,0,0,0
cra,0,0,0,0,0
creb,0,0,0,0,0
crp,0,0,0,0,0
csgd,0,0,0,0,0
cspa,0,1,0,0,1
csqr,1,0,0,1,0
cuer,0,0,0,0,0
cusr,0,0,0,0,0
cynr,0,0,0,0,0
cysb,0,0,0,0,0
cytr,0,0,0,0,0
dan,0,0,0,0,0
dcur,0,0,0,0,0
deor,0,0,0,0,0
dgor,0,0,0,0,0
dica,0,0,0,0,0
dinj,0,0,0,0,0
dinj-yafq,0,0,0,0,0
dnaa,0,0,0,0,0
dpia,0,0,0,0,0
envr,0,1,0,0,1
evga,0,0,0,0,0
exur,1,0,0,1,0
fabr,0,0,0,0,0
fadr,0,0,0,0,0
fear,0,0,0,0,0
fhla,0,0,0,0,0
fimz,0,0,0,0,0
fis,0,0,0,0,0
flhdc,0,0,0,0,0
fliz,0,0,0,0,0
fnr,0,0,0,0,0
frlr,0,1,0,0,1
frmr,0,0,0,0,0
fur,0,0,0,0,0
gade,0,0,0,0,0
gadrcs,0,0,0,0,0
gadw,0,0,0,0,0
gadx,0,0,0,0,0
galr,0,0,0,0,0
gals,0,0,0,0,0
gcva,0,0,0,0,0
glar,0,0,0,0,0
glcc,0,0,0,0,0
glpr,0,0,0,0,0
glrr,1,0,0,1,0
gntr,0,0,0,0,0
h-ns,0,0,0,0,0
hcar,0,1,0,0,1
hicb,0,0,0,0,0
higa,0,1,0,0,1
higba,0,1,0,0,1
hipb,1,0,0,1,0
hns,0,0,0,0,0
hprr,0,0,0,0,0
hyfr,1,0,0,1,0
iclr,0,0,0,0,0
idnr,0,0,0,0,0
ihf,0,0,0,0,0
ilvy,0,0,0,0,0
iscr,0,0,0,0,0
kdgr,0,0,0,0,0
kdpe,0,0,0,0,0
laci,0,0,0,0,0
leuo,0,0,0,0,0
lexa,0,0,0,0,0
lldr,0,0,0,0,0
lrha,0,0,0,0,0
lrp,0,0,0,0,0
lsrr,0,0,0,0,0
mali,0,0,0,0,0
malt,0,0,0,0,0
mara,0,0,0,0,0
marr,1,0,0,1,0
maze,1,0,0,1,0
mazef,1,0,0,1,0
mcbr,0,0,0,0,0
melr,0,0,0,0,0
metj,0,0,0,0,0
metr,0,0,0,0,0
mhpr,0,0,0,0,0
mlc,0,1,0,0,1
mlra,0,0,0,0,0
mngr,0,0,0,0,0
mntr,0,0,0,0,0
mode,0,0,0,0,0
mpra,0,0,0,0,0
mqsa,0,0,0,0,0
mraz,0,0,0,0,0
murr,0,0,0,0,0
nac,0,0,0,0,0
nadr,0,0,0,0,0
nagc,0,0,0,0,0
nanr,0,0,0,0,0
narl,0,0,0,0,0
narp,0,0,0,0,0
nemr,1,0,0,1,0
nhar,0,0,0,0,0
nikr,0,0,0,0,0
norr,0,0,0,0,0
nrdr,0,0,0,0,0
nsrr,0,0,0,0,0
ntrc,0,0,0,0,0
ompr,0,0,0,0,0
oxyr,0,0,0,0,0
paax,1,0,0,1,0
pdel,0,0,0,0,0
pdhr,0,0,0,0,0
pepa,0,1,0,0,1
pgrr,1,0,0,1,0
phob,0,0,0,0,0
phop,0,0,0,0,0
plar,0,0,0,0,0
prpr,0,0,0,0,0
pspf,0,0,0,0,0
ptrr,0,0,0,0,0
purr,0,0,0,0,0
puta,0,1,0,0,1
puur,0,1,0,0,1
pyrr,1,0,0,1,0
qseb,0,0,0,0,0
racr,0,0,0,0,0
rbsr,0,0,0,0,0
rcda,0,0,0,0,0
rcsab,0,0,0,0,0
rcsb,0,0,0,0,0
rcsb-bglj,1,0,0,1,0
rhar,0,0,0,0,0
rhas,0,0,0,0,0
rob,0,0,0,0,0
rsta,0,0,0,0,0
rutr,0,0,0,0,0
sdia,0,0,0,0,0
sgrr,0,0,0,0,0
slya,0,0,0,0,0
soxr,0,0,0,0,0
soxs,0,0,0,0,0
srsr,0,0,0,0,0
stpa,0,0,0,0,0
sutr,0,0,0,0,0
tdca,0,0,0,0,0
tdcr,0,0,0,0,0
torr,0,0,0,0,0
trer,0,0,0,0,0
trpr,0,0,0,0,0
tyrr,0,0,0,0,0
uhpa,1,0,0,1,0
uidr,0,0,0,0,0
ular,1,0,0,1,0
uvry,0,0,0,0,0
uxur,0,0,0,0,0
xapr,1,0,0,1,0
xylr,0,0,0,0,0
xynr,1,0,0,1,0
ycit,0,0,0,0,0
ycjw,0,0,0,0,0
ydeo,0,0,0,0,0
ydfh,1,0,0,1,0
yfec,0,0,0,0,0
ygbi,1,0,0,1,0
yiau,0,0,0,0,0
yidz,0,0,0,0,0
yjjq,0,0,0,0,0
yqhc,0,0,0,0,0
zntr,0,0,0,0,0
zrar,0,0,0,0,0
zur,0,0,0,0,0
