regulator,group1,group2,intersection,group1_only,group2_only
acrr,1,1,1,0,0
ada,0,0,0,0,0
agar,1,0,0,1,0
aidb,0,0,0,0,0
allr,1,0,0,1,0
alls,0,0,0,0,0
arac,1,0,0,1,0
arca,1,1,1,0,0
argp,1,1,1,0,0
argr,1,1,1,0,0
arsr,0,0,0,0,0
ascg,1,1,1,0,0
asnc,0,1,0,0,1
atoc,0,0,0,0,0
baer,1,0,0,1,0
basr,1,0,0,1,0
beti,1,1,1,0,0
bira,0,1,0,0,1
blur,0,0,0,0,0
bola,1,1,1,0,0
btsr,1,1,1,0,0
cadc,0,0,0,0,0
caif,1,0,0,1,0
cbl,0,1,0,0,1
cecr,0,0,0,0,0
cpxr,1,1,1,0,0
cra,1,1,1,0,0
creb,0,1,0,0,1
crp,1,1,1,0,0
csgd,1,1,1,0,0
cspa,0,1,0,0,1
csqr,0,0,0,0,0
cuer,0,0,0,0,0
cusr,0,1,0,0,1
cynr,0,0,0,0,0
cysb,0,1,0,0,1
cytr,1,1,1,0,0
dan,0,0,0,0,0
dcur,1,0,0,1,0
deor,0,1,0,0,1
dgor,0,0,0,0,0
dica,0,0,0,0,0
dinj,1,0,0,1,0
dinj-yafq,1,0,0,1,0
dnaa,1,1,1,0,0
dpia,1,0,0,1,0
envr,0,1,0,0,1
evga,0,0,0,0,0
exur,1,0,0,1,0
fabr,0,0,0,0,0
fadr,1,1,1,0,0
fear,1,0,0,1,0
fhla,1,0,0,1,0
fimz,0,1,0,0,1
fis,1,1,1,0,0
flhdc,0,1,0,0,1
fliz,1,1,1,0,0
fnr,1,1,1,0,0
frlr,0,0,0,0,0
frmr,0,1,0,0,1
fur,1,1,1,0,0
gade,1,1,1,0,0
gadrcs,1,0,0,1,0
gadw,1,0,0,1,0
gadx,1,1,1,0,0
galr,0,0,0,0,0
gals,0,0,0,0,0
gcva,0,1,0,0,1
glar,1,1,1,0,0
glcc,0,0,0,0,0
glpr,1,0,0,1,0
glrr,1,0,0,1,0
gntr,0,1,0,0,1
h-ns,1,1,1,0,0
hcar,0,1,0,0,1
hicb,1,0,0,1,0
higa,0,0,0,0,0
higba,0,0,0,0,0
hipb,0,0,0,0,0
hns,1,1,1,0,0
hprr,0,1,0,0,1
hyfr,0,0,0,0,0
iclr,0,1,0,0,1
idnr,0,0,0,0,0
ihf,1,1,1,0,0
ilvy,0,0,0,0,0
iscr,1,0,0,1,0
kdgr,0,1,0,0,1
kdpe,0,0,0,0,0
laci,0,0,0,0,0
leuo,0,1,0,0,1
lexa,1,1,1,0,0
lldr,1,0,0,1,0
lrha,1,0,0,1,0
lrp,1,1,1,0,0
lsrr,0,0,0,0,0
mali,0,0,0,0,0
malt,0,1,0,0,1
mara,1,1,1,0,0
marr,1,0,0,1,0
maze,0,0,0,0,0
mazef,0,0,0,0,0
mcbr,0,0,0,0,0
melr,1,0,0,1,0
metj,1,1,1,0,0
metr,1,1,1,0,0
mhpr,0,0,0,0,0
mlc,0,1,0,0,1
mlra,0,1,0,0,1
mngr,1,0,0,1,0
mntr,1,0,0,1,0
mode,1,1,1,0,0
mpra,0,1,0,0,1
mqsa,1,0,0,1,0
mraz,0,1,0,0,1
murr,0,1,0,0,1
nac,1,1,1,0,0
nadr,0,0,0,0,0
nagc,1,1,1,0,0
nanr,1,0,0,1,0
narl,1,1,1,0,0
narp,1,1,1,0,0
nemr,0,0,0,0,0
nhar,0,0,0,0,0
nikr,0,0,0,0,0
norr,1,0,0,1,0
nrdr,0,1,0,0,1
nsrr,1,1,1,0,0
ntrc,1,1,1,0,0
ompr,1,1,1,0,0
oxyr,1,1,1,0,0
paax,0,0,0,0,0
pdel,0,0,0,0,0
pdhr,1,1,1,0,0
pepa,0,1,0,0,1
pgrr,1,0,0,1,0
phob,1,1,1,0,0
phop,1,1,1,0,0
plar,1,1,1,0,0
prpr,1,0,0,1,0
pspf,1,1,1,0,0
ptrr,1,1,1,0,0
purr,0,1,0,0,1
puta,0,1,0,0,1
puur,0,1,0,0,1
pyrr,1,0,0,1,0
qseb,1,1,1,0,0
racr,0,0,0,0,0
rbsr,0,1,0,0,1
rcda,1,0,0,1,0
rcsab,0,0,0,0,0
rcsb,1,1,1,0,0
rcsb-bglj,0,0,0,0,0
rhar,0,0,0,0,0
rhas,1,0,0,1,0
rob,1,1,1,0,0
rsta,0,1,0,0,1
rutr,0,1,0,0,1
sdia,0,1,0,0,1
sgrr,0,0,0,0,0
slya,1,0,0,1,0
soxr,1,1,1,0,0
soxs,1,1,1,0,0
srsr,1,1,1,0,0
stpa,0,1,0,0,1
sutr,0,1,0,0,1
tdca,0,0,0,0,0
tdcr,0,0,0,0,0
torr,1,0,0,1,0
trer,0,0,0,0,0
trpr,0,1,0,0,1
tyrr,1,1,1,0,0
uhpa,0,0,0,0,0
uidr,1,0,0,1,0
ular,1,0,0,1,0
uvry,0,1,0,0,1
uxur,1,0,0,1,0
xapr,0,0,0,0,0
xylr,1,0,0,1,0
xynr,0,0,0,0,0
ycit,0,0,0,0,0
ycjw,0,0,0,0,0
ydeo,1,0,0,1,0
ydfh,1,0,0,1,0
yfec,1,1,1,0,0
ygbi,1,0,0,1,0
yiau,0,1,0,0,1
yidz,0,0,0,0,0
yjjq,0,0,0,0,0
yqhc,0,0,0,0,0
zntr,0,0,0,0,0
zrar,1,1,1,0,0
zur,1,0,0,1,0
