regulator,group1,group2,intersection,group1_only,group2_only
acrr,0,0,0,0,0
ada,0,0,0,0,0
agar,0,0,0,0,0
aidb,0,0,0,0,0
allr,0,0,0,0,0
alls,0,0,0,0,0
arac,0,0,0,0,0
arca,1,0,0,1,0
argp,1,0,0,1,0
argr,1,0,0,1,0
arsr,0,0,0,0,0
ascg,0,0,0,0,0
asnc,0,0,0,0,0
atoc,0,0,0,0,0
baer,0,0,0,0,0
basr,0,0,0,0,0
beti,0,0,0,0,0
bira,0,0,0,0,0
blur,0,0,0,0,0
bola,0,0,0,0,0
btsr,1,0,0,1,0
cadc,0,0,0,0,0
caif,0,0,0,0,0
cbl,0,0,0,0,0
cecr,0,0,0,0,0
cpxr,1,1,1,0,0
cra,1,0,0,1,0
creb,0,0,0,0,0
crp,1,0,0,1,0
csgd,1,0,0,1,0
cspa,0,0,0,0,0
csqr,0,0,0,0,0
cuer,0,0,0,0,0
cusr,0,0,0,0,0
cynr,0,0,0,0,0
cysb,1,0,0,1,0
cytr,0,0,0,0,0
dan,0,0,0,0,0
dcur,0,0,0,0,0
deor,0,0,0,0,0
dgor,0,0,0,0,0
dica,0,0,0,0,0
dinj,0,0,0,0,0
dinj-yafq,0,0,0,0,0
dnaa,1,0,0,1,0
dpia,1,0,0,1,0
envr,0,0,0,0,0
evga,0,0,0,0,0
exur,0,0,0,0,0
fabr,0,0,0,0,0
fadr,1,0,0,1,0
fear,0,0,0,0,0
fhla,0,0,0,0,0
fimz,0,0,0,0,0
fis,1,1,1,0,0
flhdc,1,0,0,1,0
fliz,0,0,0,0,0
fnr,1,0,0,1,0
frlr,0,0,0,0,0
frmr,0,0,0,0,0
fur,1,1,1,0,0
gade,1,0,0,1,0
gadrcs,0,0,0,0,0
gadw,0,0,0,0,0
gadx,0,0,0,0,0
galr,0,0,0,0,0
gals,0,0,0,0,0
gcva,1,0,0,1,0
glar,1,0,0,1,0
glcc,0,0,0,0,0
glpr,0,0,0,0,0
glrr,0,0,0,0,0
gntr,0,0,0,0,0
h-ns,0,1,0,0,1
hcar,0,0,0,0,0
hicb,0,0,0,0,0
higa,0,0,0,0,0
higba,0,0,0,0,0
hipb,0,0,0,0,0
hns,1,1,1,0,0
hprr,0,0,0,0,0
hyfr,0,0,0,0,0
iclr,0,0,0,0,0
idnr,0,0,0,0,0
ihf,1,1,1,0,0
ilvy,1,0,0,1,0
iscr,0,0,0,0,0
kdgr,0,0,0,0,0
kdpe,0,0,0,0,0
laci,0,0,0,0,0
leuo,1,0,0,1,0
lexa,0,0,0,0,0
lldr,0,0,0,0,0
lrha,0,0,0,0,0
lrp,1,1,1,0,0
lsrr,0,0,0,0,0
mali,0,0,0,0,0
malt,0,0,0,0,0
mara,1,0,0,1,0
marr,0,0,0,0,0
maze,0,0,0,0,0
mazef,0,0,0,0,0
mcbr,0,0,0,0,0
melr,0,0,0,0,0
metj,1,0,0,1,0
metr,1,0,0,1,0
mhpr,0,0,0,0,0
mlc,0,0,0,0,0
mlra,0,0,0,0,0
mngr,0,0,0,0,0
mntr,0,0,0,0,0
mode,1,0,0,1,0
mpra,0,0,0,0,0
mqsa,0,0,0,0,0
mraz,0,0,0,0,0
murr,0,0,0,0,0
nac,1,1,1,0,0
nadr,0,0,0,0,0
nagc,0,0,0,0,0
nanr,0,0,0,0,0
narl,0,0,0,0,0
narp,0,0,0,0,0
nemr,0,0,0,0,0
nhar,0,0,0,0,0
nikr,0,0,0,0,0
norr,0,0,0,0,0
nrdr,0,0,0,0,0
nsrr,1,0,0,1,0
ntrc,1,0,0,1,0
ompr,1,1,1,0,0
oxyr,1,0,0,1,0
paax,0,0,0,0,0
pdel,0,0,0,0,0
pdhr,1,0,0,1,0
pepa,0,0,0,0,0
pgrr,0,0,0,0,0
phob,1,0,0,1,0
phop,1,0,0,1,0
plar,0,0,0,0,0
prpr,0,0,0,0,0
pspf,0,0,0,0,0
ptrr,0,0,0,0,0
purr,1,0,0,1,0
puta,0,0,0,0,0
puur,0,0,0,0,0
pyrr,0,0,0,0,0
qseb,0,0,0,0,0
racr,0,0,0,0,0
rbsr,0,0,0,0,0
rcda,0,0,0,0,0
rcsab,0,0,0,0,0
rcsb,0,0,0,0,0
rcsb-bglj,0,0,0,0,0
rhar,0,0,0,0,0
rhas,0,0,0,0,0
rob,1,0,0,1,0
rsta,1,0,0,1,0
rutr,0,0,0,0,0
sdia,0,0,0,0,0
sgrr,0,0,0,0,0
slya,0,0,0,0,0
soxr,0,0,0,0,0
soxs,1,0,0,1,0
srsr,0,0,0,0,0
stpa,0,0,0,0,0
sutr,1,0,0,1,0
tdca,0,0,0,0,0
tdcr,0,0,0,0,0
torr,0,0,0,0,0
trer,0,0,0,0,0
trpr,1,0,0,1,0
tyrr,1,0,0,1,0
uhpa,0,0,0,0,0
uidr,0,0,0,0,0
ular,0,0,0,0,0
uvry,0,0,0,0,0
uxur,0,0,0,0,0
xapr,0,0,0,0,0
xylr,0,0,0,0,0
xynr,0,0,0,0,0
ycit,0,0,0,0,0
ycjw,0,0,0,0,0
ydeo,0,0,0,0,0
ydfh,0,0,0,0,0
yfec,0,0,0,0,0
ygbi,0,0,0,0,0
yiau,1,0,0,1,0
yidz,0,0,0,0,0
yjjq,0,1,0,0,1
yqhc,0,1,0,0,1
zntr,0,0,0,0,0
zrar,1,1,1,0,0
zur,1,0,0,1,0
